Company,Breakdown,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,Research & Development,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Unusual Items Excluding Goodwill,Total Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings
Oracle Corporation,5/31/2021,"40,479,000",,"7,855,000","32,624,000","16,971,000",,,"15,653,000","-2,395,000",,,"-259,000",,"12,999,000","-747,000","13,746,000",,,,"13,746,000",4.67,4.55,"2,945,000","3,022,000","15,213,000","24,826,000","13,746,000","14,148,960","101,000","2,496,000","-2,395,000","15,495,000",-,"6,318,000","2,916,000","13,746,000","18,963,000",0,"-149,040","-552,000","-552,000",,
Oracle Corporation,5/31/2020,"39,068,000",,"7,938,000","31,130,000","16,928,000",,,"14,202,000","-1,468,000",,,"-671,000",,"12,063,000","1,928,000","10,135,000",,,,"10,135,000",3.16,3.08,"3,211,000","3,294,000","13,896,000","24,866,000","10,135,000","10,547,440","527,000","1,995,000","-1,468,000","14,058,000",-,"6,556,000","2,968,000","10,135,000","17,517,000",0,"-78,560","-491,000","-491,000",,
Oracle Corporation,5/31/2019,"39,506,000",,"7,995,000","31,511,000","17,489,000",,,"14,022,000","-990,000",,,"-764,000",,"12,268,000","1,185,000","11,083,000",,,,"11,083,000",3.05,2.97,"3,634,000","3,732,000","13,535,000","25,484,000","11,083,000","11,622,994","1,092,000","2,082,000","-990,000","14,350,000",-,"6,765,000","2,919,000","11,083,000","17,867,000",0,"-58,006","-598,000","-598,000",,
"Cisco Systems, Inc.",ttm,"53,161,000",,"20,242,000","32,919,000","18,804,000",,,"14,115,000","242,000",,,"-250,000",,"14,107,000","2,805,000","11,302,000",,,,"11,302,000",-,-,-,-,"13,876,000","39,046,000","11,302,000","11,458,227","632,000","390,000","242,000","14,497,000","16,258,000","18,773,000","1,761,000","11,302,000","16,453,000",0,"-38,773","-195,000","-195,000",,
"Cisco Systems, Inc.",7/31/2022,"51,557,000",,"19,309,000","32,248,000","18,273,000",,,"13,975,000","116,000",,,"386,000",,"14,477,000","2,665,000","11,812,000",,,,"11,812,000",2.83,2.82,"4,170,000","4,192,000","13,969,000","37,582,000","11,812,000","11,443,984","476,000","360,000","116,000","14,837,000",-,"17,665,000","1,957,000","11,812,000","16,343,000",0,"82,984","451,000","451,000",,
"Cisco Systems, Inc.",7/31/2021,"49,818,000",,"17,924,000","31,894,000","18,175,000",,,"13,719,000","184,000",,,"-641,000",,"13,262,000","2,671,000","10,591,000",,,,"10,591,000",2.51,2.50,"4,222,000","4,236,000","12,833,000","36,099,000","10,591,000","11,039,239","618,000","434,000","184,000","13,696,000",-,"16,277,000","1,862,000","10,591,000","16,119,000",0,"-112,761","-561,000","-561,000",,
"Cisco Systems, Inc.",7/31/2020,"49,301,000",,"17,618,000","31,683,000","17,582,000",,,"14,101,000","335,000",,,"-466,000",,"13,970,000","2,756,000","11,214,000",,,,"11,214,000",2.65,2.64,"4,236,000","4,254,000","13,620,000","35,200,000","11,214,000","11,494,247","920,000","585,000","335,000","14,555,000",-,"15,951,000","1,808,000","11,214,000","16,712,000",0,"-68,753","-349,000","-349,000",,
"Cisco Systems, Inc.",7/31/2019,"51,904,000",,"19,238,000","32,666,000","18,125,000",,,"14,541,000","449,000",,,"-419,000",,"14,571,000","2,950,000","11,621,000",,,,"11,621,000",2.63,2.61,"4,419,000","4,453,000","14,219,000","37,363,000","11,621,000","11,885,936","1,308,000","859,000","449,000","15,430,000",-,"17,491,000","1,897,000","11,621,000","17,659,000",0,"-67,064","-332,000","-332,000",,
"Salesforce, Inc.",ttm,"31,352,000",,"8,360,000","22,992,000","21,134,000",,,"1,858,000",,,,"-1,198,000",,"660,000","452,000","208,000",,,,"208,000",-,-,-,-,"1,030,000","29,494,000","208,000","848,200",,,,"1,858,000","5,644,000","8,360,000","3,786,000","208,000","6,711,000",0,"-426,800","-1,067,000","-1,067,000",,
"Salesforce, Inc.",1/31/2023,"31,352,000",,"8,360,000","22,992,000","21,134,000",,,"1,858,000",,,,"-1,198,000",,"660,000","452,000","208,000",,,,"208,000",0.21,0.21,"992,000","997,000","1,030,000","29,494,000","208,000","848,200",,,,"1,858,000",-,"8,360,000","3,786,000","208,000","6,711,000",0,"-426,800","-1,067,000","-1,067,000",,
